id,createdAt,updatedAt,pushedAt,diskUsage,isInOrganization,name,nameWithOwner,sshUrl,stargazerCount
MDEwOlJlcG9zaXRvcnk0Nzg2MjY1Mg==,2015-12-12T03:31:45Z,2026-04-17T16:50:50Z,2026-04-14T20:34:18Z,16376,True,ecoevolity,phyletica/ecoevolity,git@github.com:phyletica/ecoevolity.git,9
MDEwOlJlcG9zaXRvcnk0NzU4Mzc0Mw==,2015-12-07T22:38:45Z,2026-05-06T05:30:57Z,2026-05-06T06:32:10Z,306263,True,ryzomcore,ryzom/ryzomcore,git@github.com:ryzom/ryzomcore.git,429
MDEwOlJlcG9zaXRvcnk0NzU0Mjc5OA==,2015-12-07T09:36:43Z,2026-05-07T08:14:58Z,2026-05-07T11:23:05Z,14162,True,mender,mendersoftware/mender,git@github.com:mendersoftware/mender.git,1177
MDEwOlJlcG9zaXRvcnk0NzM3MjYzNw==,2015-12-04T01:24:35Z,2026-04-02T19:14:23Z,2026-05-05T18:53:08Z,105260,True,HPWHsim,bigladder/HPWHsim,git@github.com:bigladder/HPWHsim.git,20
MDEwOlJlcG9zaXRvcnk0NzA2OTgxOQ==,2015-11-29T15:57:03Z,2026-05-06T18:06:36Z,2026-05-01T18:18:50Z,445524,True,ogre,OGRECave/ogre,git@github.com:OGRECave/ogre.git,4559
MDEwOlJlcG9zaXRvcnk0NjgxNzU2Ng==,2015-11-24T20:45:21Z,2026-05-07T00:49:33Z,2026-05-06T09:10:21Z,1456090,True,upbge,UPBGE/upbge,git@github.com:UPBGE/upbge.git,1759
MDEwOlJlcG9zaXRvcnk0NjQxNjQ1OQ==,2015-11-18T12:12:04Z,2026-03-16T13:20:26Z,2026-03-16T13:20:21Z,19874,True,petro,steinwurf/petro,git@github.com:steinwurf/petro.git,3
MDEwOlJlcG9zaXRvcnk0NjI5NzY0OQ==,2015-11-16T19:39:16Z,2026-05-06T03:18:53Z,2026-05-06T16:34:34Z,867287,True,Trilinos,trilinos/Trilinos,git@github.com:trilinos/Trilinos.git,1382
MDEwOlJlcG9zaXRvcnk0NjI5MTMzMA==,2015-11-16T17:41:03Z,2026-05-07T08:13:11Z,2026-05-05T09:58:52Z,12414,True,s2geometry,google/s2geometry,git@github.com:google/s2geometry.git,2655
MDEwOlJlcG9zaXRvcnk0NjEzMDA2OA==,2015-11-13T15:30:27Z,2026-05-07T02:06:38Z,2026-05-06T18:38:47Z,628850,True,opennn,Artelnics/opennn,git@github.com:Artelnics/opennn.git,1192
MDEwOlJlcG9zaXRvcnk0NTk4MTgwMQ==,2015-11-11T12:56:25Z,2026-05-06T21:40:35Z,2026-05-07T03:06:22Z,30135,True,SPIRV-Tools,KhronosGroup/SPIRV-Tools,git@github.com:KhronosGroup/SPIRV-Tools.git,1303
MDEwOlJlcG9zaXRvcnk0NTk1MzY0OQ==,2015-11-11T02:02:00Z,2026-05-04T05:33:13Z,2026-04-06T18:09:02Z,9640,True,Caliper,llnl/Caliper,git@github.com:llnl/Caliper.git,411
MDEwOlJlcG9zaXRvcnk0NTkyMjU3Ng==,2015-11-10T15:54:25Z,2026-03-29T23:31:52Z,2026-03-01T22:12:03Z,18505,True,osIROSE-new,dev-osrose/osIROSE-new,git@github.com:dev-osrose/osIROSE-new.git,69
