id,createdAt,updatedAt,pushedAt,diskUsage,isInOrganization,name,nameWithOwner,sshUrl,stargazerCount
R_kgDOIrbnrg,2022-12-26T18:45:29Z,2026-04-27T13:24:18Z,2026-04-16T18:47:18Z,48508,False,cubinterpp,swvanbuuren/cubinterpp,git@github.com:swvanbuuren/cubinterpp.git,6
R_kgDOIp84Cg,2022-12-21T16:24:58Z,2026-04-23T13:01:59Z,2026-04-22T21:06:52Z,96971,True,FastLanes,cwida/FastLanes,git@github.com:cwida/FastLanes.git,672
R_kgDOIpgP6A,2022-12-20T12:53:39Z,2026-05-06T09:22:13Z,2026-05-06T09:22:08Z,164,True,COLA,Spectator-matter-group-INR-RAS/COLA,git@github.com:Spectator-matter-group-INR-RAS/COLA.git,1
R_kgDOIopAZg,2022-12-17T21:13:37Z,2026-05-06T07:32:26Z,2026-05-06T00:23:24Z,29251,True,ada,ada-url/ada,git@github.com:ada-url/ada.git,1726
R_kgDOIoV81g,2022-12-16T21:10:40Z,2026-04-22T13:48:26Z,2026-04-22T13:48:22Z,1835,True,JsRuntimeHost,BabylonJS/JsRuntimeHost,git@github.com:BabylonJS/JsRuntimeHost.git,21
R_kgDOIn7KZg,2022-12-15T18:57:39Z,2026-05-05T04:19:49Z,2026-05-05T04:20:07Z,15011,True,svMultiPhysics,SimVascular/svMultiPhysics,git@github.com:SimVascular/svMultiPhysics.git,33
R_kgDOIndX5w,2022-12-14T15:48:16Z,2026-05-07T09:00:42Z,2026-05-07T09:55:28Z,36574,True,monad,category-labs/monad,git@github.com:category-labs/monad.git,1197
R_kgDOInE1zw,2022-12-13T16:51:01Z,2026-03-05T22:25:56Z,2026-05-05T05:10:38Z,147799,True,X-SCAPE,JETSCAPE/X-SCAPE,git@github.com:JETSCAPE/X-SCAPE.git,2
R_kgDOImlYQA,2022-12-12T13:54:42Z,2026-05-07T00:55:24Z,2026-04-27T11:00:13Z,79321,True,xstudio,AcademySoftwareFoundation/xstudio,git@github.com:AcademySoftwareFoundation/xstudio.git,741
R_kgDOIliESA,2022-12-09T10:04:25Z,2026-05-06T16:30:38Z,2026-05-07T10:41:38Z,66763,True,aerostack2,aerostack2/aerostack2,git@github.com:aerostack2/aerostack2.git,336
R_kgDOIk9vnw,2022-12-08T00:21:56Z,2026-05-06T20:30:33Z,2026-05-06T20:55:30Z,2020115,True,core,sourcemeta/core,git@github.com:sourcemeta/core.git,48
R_kgDOIkAraQ,2022-12-05T18:25:59Z,2026-05-07T07:51:42Z,2026-05-06T18:30:45Z,468455,True,holohub,nvidia-holoscan/holohub,git@github.com:nvidia-holoscan/holohub.git,208
R_kgDOIj-GFw,2022-12-05T16:32:05Z,2026-05-07T11:23:31Z,2026-05-07T11:23:25Z,1135095,True,ytsaurus,ytsaurus/ytsaurus,git@github.com:ytsaurus/ytsaurus.git,2159
R_kgDOIjhd5g,2022-12-04T13:44:25Z,2026-05-05T19:03:37Z,2026-05-05T20:00:27Z,257912,True,vanillapdf,vanillapdf/vanillapdf,git@github.com:vanillapdf/vanillapdf.git,13
R_kgDOIi-uMg,2022-12-02T18:28:05Z,2026-05-07T10:25:35Z,2026-04-29T08:09:24Z,47216,True,VulkanSC-Tools,KhronosGroup/VulkanSC-Tools,git@github.com:KhronosGroup/VulkanSC-Tools.git,8
R_kgDOIims2g,2022-12-01T20:27:08Z,2026-05-06T16:35:13Z,2026-05-06T22:06:11Z,215491,True,jami-client-qt,savoirfairelinux/jami-client-qt,git@github.com:savoirfairelinux/jami-client-qt.git,39
R_kgDOIiaQHQ,2022-12-01T11:39:35Z,2026-05-07T02:53:11Z,2026-04-23T19:56:27Z,10481,True,mujoco_mpc,google-deepmind/mujoco_mpc,git@github.com:google-deepmind/mujoco_mpc.git,1620
